,ID,Year,Sector,Subsector,City,County,Total_Emissions,Biogenic_CO2_Emissions,CO2_Emissions,Methane_Emissions,Nitrous_Oxide_Emissions,HFCs_Emissions,PFCs_Emissions,SF6_Emissions,Fluorinated_Emissions,Geocoded_Location
375,375,2013,Pulp and Paper,Kraft Mills,Longview,Cowlitz,1509833,1193366,306848,3563,6056,0,0,0,0,POINT (-122.983637 46.130495)
376,376,2015,Government,National Security,Joint Base Lewis-McChord,Pierce,78741,0,56073,22633,35,0,0,0,0,POINT (-122.5365 47.1142)
377,377,2012,Minerals,Lime Production,Tacoma,Pierce,86850,0,86662,70,118,0,0,0,0,POINT (-122.397262 47.271365)
378,378,2014,Food Production,Other Food Products,Vancouver,Clark,18814,0,18795,9,10,0,0,0,0,POINT (-122.690043 45.631069)
379,379,2017,Pulp and Paper,Sulfite Mills,Cosmopolis,Grays Harbor,556957,528092,22456,4257,2152,0,0,0,0,POINT (-123.76211 46.952907)
380,380,2019,Chemicals,Other Chemicals,Elma,Grays Harbor,22359,0,22335,11,13,0,0,0,0,POINT (-123.382316 46.995459)
381,381,2017,Supplier,Natural Gas Supplier,Kennewick,Benton,1843832,0,1841930,868,1034,0,0,0,0,POINT (-119.22987 46.21875)
382,382,2018,Government,Education,Pullman,Whitman,61882,0,61816,30,36,0,0,0,0,POINT (-117.151481 46.728702)
383,383,2012,Pulp and Paper,Sulfite Mills,Cosmopolis,Grays Harbor,536936,502830,27037,5186,1883,0,0,0,0,POINT (-123.76211 46.952907)
384,384,2019,Power Plants,Natural Gas Turbine Plants,Bellingham,Whatcom,191710,0,191515,89,106,0,0,0,0,POINT (-122.486 48.746)
385,385,2018,Wood Products,Lumber Mills,Raymond,Pacific,45103,44508,0,86,509,0,0,0,0,POINT (-123.737495 46.688088)
386,386,2019,Supplier,Natural Gas Supplier,Enumclaw,Pierce,24260,0,24235,11,14,0,0,0,0,POINT (-123.737495 46.688088)
387,387,2016,Power Plants,Natural Gas Turbine Plants,Vancouver,Clark,569033,0,568455,264,314,0,0,0,0,POINT (-122.724806 45.64958)
388,388,2014,Government,Education,Ellensburg,Kittitas,13673,0,13658,7,8,0,0,0,0,POINT (-120.544513 47.003202)
389,389,2017,Natural Gas Systems,Natural Gas Transmission/Compression,Starbuck,Columbia,41960,0,41065,872,23,0,0,0,0,POINT (-118.293441 46.53558)
390,390,2018,Chemicals,Fertilizer Production,Kennewick,Benton,119791,0,11207,1,108583,0,0,0,0,POINT (-119.017218 46.165957)
391,391,2017,Natural Gas Systems,Natural Gas Transmission/Compression,Mount Vernon,Skagit,62345,0,60027,2284,34,0,0,0,0,POINT (-122.21547 48.421967)
392,392,2019,Power Plants,"Other Power, Heating, or Cooling Plants",Seattle,King,69254,0,69181,33,40,0,0,0,0,POINT (-122.340179 47.6068)
393,393,2015,Minerals,Glass Production,Seattle,King,76673,0,76614,27,32,0,0,0,0,POINT (-122.33739 47.55242)
394,394,2019,Livestock,Cattle Feedlots,Eltopia,Franklin,14477,0,1211,1028,12238,0,0,0,0,POINT (-118.881203 46.50919)
395,395,2015,Food Production,Potato Products,Moses Lake,Grant,31063,0,31031,15,17,0,0,0,0,POINT (-119.220408 47.075183)
396,396,2017,Minerals,Lime Production,Tacoma,Pierce,23,0,23,0,0,0,0,0,0,POINT (-122.397262 47.271365)
397,397,2019,Natural Gas Systems,Natural Gas Transmission/Compression,Sumas,Whatcom,79135,0,75413,3680,42,0,0,0,0,POINT (-122.2214 49.001)
398,398,2020,Food Production,Other Food Products,Vancouver,Clark,13788,0,13773,7,8,0,0,0,0,POINT (-122.692 45.657037)
399,399,2013,Metals,Other Metals,Spokane Valley,Spokane,110966,0,110852,52,62,0,0,0,0,POINT (-117.212673 47.687074)
400,400,2021,Power Plants,Natural Gas Turbine Plants,Chehalis,Lewis,918668,0,917735,426,507,0,0,0,0,POINT (-122.9145 46.6226)
401,401,2016,Food Production,Other Food Products,Vancouver,Clark,17085,0,17067,8,10,0,0,0,0,POINT (-122.690043 45.631069)
402,402,2020,Manufacturing,Transportation Industry,Tukwila,King,12612,0,12599,6,7,0,0,0,0,POINT (-122.298613 47.516246)
403,403,2020,Food Production,Potato Products,Moses Lake,Grant,33788,5058,22827,5872,31,0,0,0,0,POINT (-119.18926 47.131732)
404,404,2015,Power Plants,"Other Power, Heating, or Cooling Plants",Roosevelt,Klickitat,80421,80010,0,123,288,0,0,0,0,POINT (-120.166354 45.807765)
405,405,2017,Food Production,Potato Products,Othello,Adams,63046,0,40134,22889,23,0,0,0,0,POINT (-119.172705 46.840102)
406,406,2012,Natural Gas Systems,Natural Gas Transmission/Compression,Snohomish,Snohomish,31358,0,30804,536,18,0,0,0,0,POINT (-122.05859 47.78825)
407,407,2020,Minerals,Cement Production,Seattle,King,346185,0,345515,266,404,0,0,0,0,POINT (-122.34255 47.56799)
408,408,2019,Wood Products,Lumber Mills,Shelton,Mason,84085,82977,0,159,949,0,0,0,0,POINT (-123.096517 47.213448)
409,409,2019,Minerals,Glass Production,Winlock,Lewis,93946,0,93879,31,36,0,0,0,0,POINT (-122.926313 46.544937)
410,410,2019,Petroleum Systems,Other Petroleum Systems,Hoquiam,Grays Harbor,17720,0,17702,8,10,0,0,0,0,POINT (-123.853622 46.968196)
411,411,2014,Natural Gas Systems,Natural Gas Local Distribution Companies,Bellevue,King,60381,0,73,60308,0,0,0,0,0,POINT (-122.19454 47.61345)
412,412,2015,Waste,Landfills,Graham,Pierce,83094,0,0,83094,0,0,0,0,0,POINT (-122.292799 46.972405)
413,413,2014,Pulp and Paper,Other Pulp and Paper,Yakima,Yakima,10601,0,10590,5,6,0,0,0,0,POINT (-120.513015 46.604058)
414,414,2021,Pulp and Paper,Other Pulp and Paper,Sumner,Pierce,11481,0,11468,6,7,0,0,0,0,POINT (-122.239474 47.210641)
415,415,2020,Livestock,Cattle Feedlots,Eltopia,Franklin,14314,0,1259,1012,12043,0,0,0,0,POINT (-118.881203 46.50919)
416,416,2014,Food Production,Fruit Products,Wenatchee,Chelan,10147,0,10136,5,6,0,0,0,0,POINT (-120.31426 47.48938)
417,417,2021,Natural Gas Systems,Natural Gas Local Distribution Companies,Kennewick,Benton,24418,0,675,23743,0,0,0,0,0,POINT (-119.22987 46.21875)
418,418,2021,Food Production,Dairy Products,Sunnyside,Yakima,38759,0,38719,18,22,0,0,0,0,POINT (-120.015675 46.30058)
419,419,2014,Livestock,Cattle Feedlots,Burbank,Walla Walla,25867,0,0,1871,23996,0,0,0,0,POINT (-118.90629 46.133131)
